************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  0   2  -4   1.42243    .7030  3.52536e+04    7.6%   2   20   76.859
  4   0  -2   1.42243    .7030  3.11174e+04    6.7%   2   20   76.859
  2  -4   0   1.42243    .7030  2.52697e+04    5.5%   2   20   76.859
  4   1   2   1.38815    .7204  6.37514e+03    1.4%   2   21   75.007
  4   2   1   1.38815    .7204  7.21621e+03    1.6%   2   21   75.007
  1   4   2   1.38815    .7204  6.27290e+03    1.4%   2   21   75.007
  2   4   1   1.38815    .7204  8.82243e+03    1.9%   2   21   75.007
  2   1   4   1.38815    .7204  8.62129e+03    1.9%   2   21   75.007
  1   2   4   1.38815    .7204  5.90617e+03    1.3%   2   21   75.007
 -1   4   2   1.38815    .7204  6.27287e+03    1.4%   2   21   75.007
  4  -1   2   1.38815    .7204  6.37512e+03    1.4%   2   21   75.007
  2  -1   4   1.38815    .7204  8.62127e+03    1.9%   2   21   75.007
 -1   2   4   1.38815    .7204  5.90616e+03    1.3%   2   21   75.007
  4   2  -1   1.38815    .7204  7.21621e+03    1.6%   2   21   75.007
  2   4  -1   1.38815    .7204  8.82243e+03    1.9%   2   21   75.007
  4   1  -2   1.38815    .7204  6.37514e+03    1.4%   2   21   75.007
  1  -2   4   1.38815    .7204  5.90616e+03    1.3%   2   21   75.007
  1   4  -2   1.38815    .7204  6.27290e+03    1.4%   2   21   75.007
 -2   1   4   1.38815    .7204  8.62127e+03    1.9%   2   21   75.007
  4  -2   1   1.38815    .7204  7.21616e+03    1.6%   2   21   75.007
 -2   4   1   1.38815    .7204  8.82242e+03    1.9%   2   21   75.007
 -4   1   2   1.38815    .7204  6.37512e+03    1.4%   2   21   75.007
  1   2  -4   1.38815    .7204  5.90617e+03    1.3%   2   21   75.007
  1  -4   2   1.38815    .7204  6.27287e+03    1.4%   2   21   75.007
  2   1  -4   1.38815    .7204  8.62129e+03    1.9%   2   21   75.007
  2  -4   1   1.38815    .7204  8.82242e+03    1.9%   2   21   75.007
 -4   2   1   1.38815    .7204  7.21616e+03    1.6%   2   21   75.007
  2   3   3   1.35623    .7373  6.96854e+01    0.0%   2   22   73.282
  3   3   2   1.35623    .7373  2.04259e+02    0.0%   2   22   73.282
  3   2   3   1.35623    .7373  2.05454e+02    0.0%   2   22   73.282
  3   3  -2   1.35623    .7373  2.04259e+02    0.0%   2   22   73.282
  3  -2   3   1.35623    .7373  2.05434e+02    0.0%   2   22   73.282
 -2   3   3   1.35623    .7373  6.96816e+01    0.0%   2   22   73.282
  2  -3   3   1.35623    .7373  6.96816e+01    0.0%   2   22   73.282
  2   3  -3   1.35623    .7373  6.96854e+01    0.0%   2   22   73.282
  3  -3   2   1.35623    .7373  2.04242e+02    0.0%   2   22   73.282
 -3   2   3   1.35623    .7373  2.05434e+02    0.0%   2   22   73.282
 -3   3   2   1.35623    .7373  2.04242e+02    0.0%   2   22   73.282
  3   2  -3   1.35623    .7373  2.05454e+02    0.0%   2   22   73.282
  2   4   2   1.29849    .7701  1.79551e+04    3.9%   2   24   70.162
  4   2   2   1.29849    .7701  1.99972e+04    4.3%   2   24   70.162
  2   2   4   1.29849    .7701  1.82539e+04    3.9%   2   24   70.162
  2  -2   4   1.29849    .7701  1.82539e+04    3.9%   2   24   70.162
 -2   2   4   1.29849    .7701  1.82539e+04    3.9%   2   24   70.162
 -2   4   2   1.29849    .7701  1.79551e+04    3.9%   2   24   70.162
  2   4  -2   1.29849    .7701  1.79551e+04    3.9%   2   24   70.162
  4  -2   2   1.29849    .7701  1.99973e+04    4.3%   2   24   70.162
  4   2  -2   1.29849    .7701  1.99972e+04    4.3%   2   24   70.162
  2   2  -4   1.29849    .7701  1.82539e+04    3.9%   2   24   70.162
 -4   2   2   1.29849    .7701  1.99973e+04    4.3%   2   24   70.162
  2  -4   2   1.29849    .7701  1.79551e+04    3.9%   2   24   70.162
  0   3   4   1.27226    .7860  3.63199e+03    0.8%   2   25   68.745
  3   0   4   1.27226    .7860  6.04626e+03    1.3%   2   25   68.745
  4   3   0   1.27226    .7860  5.42910e+03    1.2%   2   25   68.745
  3   4   0   1.27226    .7860  7.10329e+03    1.5%   2   25   68.745
  0   4   3   1.27226    .7860  3.76699e+03    0.8%   2   25   68.745
  4   0   3   1.27226    .7860  4.29506e+03    0.9%   2   25   68.745
  0   0   5   1.27226    .7860  2.08835e+03    0.5%   2   25   68.745
  0   5   0   1.27226    .7860  4.17557e+03    0.9%   2   25   68.745
  5   0   0   1.27226    .7860  2.77893e+03    0.6%   2   25   68.745
  3  -4   0   1.27226    .7860  7.10329e+03    1.5%   2   25   68.745
  0   4  -3   1.27226    .7860  3.76699e+03    0.8%   2   25   68.745
  4  -3   0   1.27226    .7860  5.42906e+03    1.2%   2   25   68.745
  4   0  -3   1.27226    .7860  4.29506e+03    0.9%   2   25   68.745
  3   0  -4   1.27226    .7860  6.04626e+03    1.3%   2   25   68.745
  0   3  -4   1.27226    .7860  3.63199e+03    0.8%   2   25   68.745
  4   3   1   1.24755    .8016  9.35752e+01    0.0%   2   26   67.410
  1   4   3   1.24755    .8016  1.96302e+02    0.0%   2   26   67.410
  3   1   4   1.24755    .8016  8.15275e+01    0.0%   2   26   67.410
  1   3   4   1.24755    .8016  2.07413e+02    0.0%   2   26   67.410
  4   1   3   1.24755    .8016  1.85162e+02    0.0%   2   26   67.410
  3   4   1   1.24755    .8016  1.79753e+02    0.0%   2   26   67.410
  1   5   0   1.24755    .8016  1.27190e+02    0.0%   2   26   67.410
 -1   3   4   1.24755    .8016  2.07416e+02    0.0%   2   26   67.410
 -1   4   3   1.24755    .8016  1.96306e+02    0.0%   2   26   67.410
  4  -1   3   1.24755    .8016  1.85163e+02    0.0%   2   26   67.410
  5   1   0   1.24755    .8016  6.12098e+02    0.1%   2   26   67.410
  3   4  -1   1.24755    .8016  1.79753e+02    0.0%   2   26   67.410
  0   1   5   1.24755    .8016  9.57438e+02    0.2%   2   26   67.410
  1   0   5   1.24755    .8016  4.57046e+02    0.1%   2   26   67.410
  0   5   1   1.24755    .8016  2.73111e+02    0.1%   2   26   67.410
  5   0   1   1.24755    .8016  7.77190e+02    0.2%   2   26   67.410
  3  -1   4   1.24755    .8016  8.15162e+01    0.0%   2   26   67.410
  4   3  -1   1.24755    .8016  9.35752e+01    0.0%   2   26   67.410
  0   1  -5   1.24755    .8016  9.57438e+02    0.2%   2   26   67.410
  1   0  -5   1.24755    .8016  4.57046e+02    0.1%   2   26   67.410
  5  -1   0   1.24755    .8016  6.12110e+02    0.1%   2   26   67.410
  5   0  -1   1.24755    .8016  7.77190e+02    0.2%   2   26   67.410
  1  -5   0   1.24755    .8016  1.27193e+02    0.0%   2   26   67.410
  0   5  -1   1.24755    .8016  2.73111e+02    0.1%   2   26   67.410
  4   1  -3   1.24755    .8016  1.85162e+02    0.0%   2   26   67.410
  1   4  -3   1.24755    .8016  1.96302e+02    0.0%   2   26   67.410
 -3   4   1   1.24755    .8016  1.79744e+02    0.0%   2   26   67.410
  1  -3   4   1.24755    .8016  2.07416e+02    0.0%   2   26   67.410
  4  -3   1   1.24755    .8016  9.35777e+01    0.0%   2   26   67.410
 -3   1   4   1.24755    .8016  8.15162e+01    0.0%   2   26   67.410
 -4   3   1   1.24755    .8016  9.35777e+01    0.0%   2   26   67.410
 -4   1   3   1.24755    .8016  1.85163e+02    0.0%   2   26   67.410
  1   3  -4   1.24755    .8016  2.07413e+02    0.0%   2   26   67.410
  3   1  -4   1.24755    .8016  8.15275e+01    0.0%   2   26   67.410
  1  -4   3   1.24755    .8016  1.96306e+02    0.0%   2   26   67.410
  3  -4   1   1.24755    .8016  1.79744e+02    0.0%   2   26   67.410
  3   3   3   1.22423    .8168  1.92050e+03    0.4%   2   27   66.150
  1   1   5   1.22423    .8168  3.51803e+03    0.8%   2   27   66.150
  1   5   1   1.22423    .8168  2.66103e+03    0.6%   2   27   66.150
  5   1   1   1.22423    .8168  4.16500e+03    0.9%   2   27   66.150
 -1   1   5   1.22423    .8168  3.51803e+03    0.8%   2   27   66.150
  5   1  -1   1.22423    .8168  4.16500e+03    0.9%   2   27   66.150
 -1   5   1   1.22423    .8168  2.66104e+03    0.6%   2   27   66.150
  1  -1   5   1.22423    .8168  3.51803e+03    0.8%   2   27   66.150
  1   5  -1   1.22423    .8168  2.66103e+03    0.6%   2   27   66.150
  5  -1   1   1.22423    .8168  4.16503e+03    0.9%   2   27   66.150
  1   1  -5   1.22423    .8168  3.51803e+03    0.8%   2   27   66.150
  3  -3   3   1.22423    .8168  1.92049e+03    0.4%   2   27   66.150
 -5   1   1   1.22423    .8168  4.16503e+03    0.9%   2   27   66.150
  1  -5   1   1.22423    .8168  2.66104e+03    0.6%   2   27   66.150
  3   3  -3   1.22423    .8168  1.92050e+03    0.4%   2   27   66.150
 -3   3   3   1.22423    .8168  1.92049e+03    0.4%   2   27   66.150
  2   4   3   1.18126    .8466  4.71749e+03    1.0%   2   29   63.828
  3   4   2   1.18126    .8466  5.26997e+03    1.1%   2   29   63.828
  4   2   3   1.18126    .8466  3.90428e+03    0.8%   2   29   63.828
  2   3   4   1.18126    .8466  4.53390e+03    1.0%   2   29   63.828
  4   3   2   1.18126    .8466  4.05822e+03    0.9%   2   29   63.828
  3   2   4   1.18126    .8466  4.80746e+03    1.0%   2   29   63.828
  5   2   0   1.18126    .8466  2.87860e+03    0.6%   2   29   63.828
  0   2   5   1.18126    .8466  2.42955e+03    0.5%   2   29   63.828
  0   5   2   1.18126    .8466  3.14214e+03    0.7%   2   29   63.828
  5   0   2   1.18126    .8466  2.12859e+03    0.5%   2   29   63.828
  2   5   0   1.18126    .8466  5.20533e+03    1.1%   2   29   63.828
  2   0   5   1.18126    .8466  4.56998e+03    1.0%   2   29   63.828
 -2   3   4   1.18126    .8466  4.53389e+03    1.0%   2   29   63.828
 -2   4   3   1.18126    .8466  4.71749e+03    1.0%   2   29   63.828
  3  -2   4   1.18126    .8466  4.80745e+03    1.0%   2   29   63.828
  4   3  -2   1.18126    .8466  4.05822e+03    0.9%   2   29   63.828
  3   4  -2   1.18126    .8466  5.26997e+03    1.1%   2   29   63.828
  4  -2   3   1.18126    .8466  3.90426e+03    0.8%   2   29   63.828
  2  -5   0   1.18126    .8466  5.20534e+03    1.1%   2   29   63.828
  4   2  -3   1.18126    .8466  3.90428e+03    0.8%   2   29   63.828
  2   0  -5   1.18126    .8466  4.56998e+03    1.0%   2   29   63.828
  5  -2   0   1.18126    .8466  2.87855e+03    0.6%   2   29   63.828
 -3   2   4   1.18126    .8466  4.80745e+03    1.0%   2   29   63.828
  2   4  -3   1.18126    .8466  4.71749e+03    1.0%   2   29   63.828
  2  -3   4   1.18126    .8466  4.53389e+03    1.0%   2   29   63.828
  4  -3   2   1.18126    .8466  4.05819e+03    0.9%   2   29   63.828
 -3   4   2   1.18126    .8466  5.26997e+03    1.1%   2   29   63.828
  0   5  -2   1.18126    .8466  3.14214e+03    0.7%   2   29   63.828
  5   0  -2   1.18126    .8466  2.12859e+03    0.5%   2   29   63.828
  0   2  -5   1.18126    .8466  2.42955e+03    0.5%   2   29   63.828
  3  -4   2   1.18126    .8466  5.26997e+03    1.1%   2   29   63.828
 -4   2   3   1.18126    .8466  3.90426e+03    0.8%   2   29   63.828
  2   3  -4   1.18126    .8466  4.53390e+03    1.0%   2   29   63.828
  3   2  -4   1.18126    .8466  4.80746e+03    1.0%   2   29   63.828
  2  -4   3   1.18126    .8466  4.71749e+03    1.0%   2   29   63.828
 -4   3   2   1.18126    .8466  4.05819e+03    0.9%   2   29   63.828
  2   1   5   1.16141    .8610  3.83060e+01    0.0%   2   30   62.755
  1   2   5   1.16141    .8610  1.89880e+02    0.0%   2   30   62.755
  5   1   2   1.16141    .8610  4.55669e+02    0.1%   2   30   62.755
  2   5   1   1.16141    .8610  6.85388e+01    0.0%   2   30   62.755
  5   2   1   1.16141    .8610  2.86941e+02    0.1%   2   30   62.755
  1   5   2   1.16141    .8610  1.00379e+02    0.0%   2   30   62.755
 -1   2   5   1.16141    .8610  1.89881e+02    0.0%   2   30   62.755
  5  -1   2   1.16141    .8610  4.55678e+02    0.1%   2   30   62.755
  5   2  -1   1.16141    .8610  2.86941e+02    0.1%   2   30   62.755
